( vogue_0001 "In nineteen seventy two, my parents once woke us up in the middle of the night." )
( vogue_0002 "I was barely sixteen years old and suddenly I was in a foreign country." )
( vogue_0003 "I became a refugee, which meant fighting for survival every day." )
( vogue_0004 "I remember going out into the world and fending for myself." )
( vogue_0005 "Today, with armed conflict in Ukraine, refugees are once again streaming across borders." )
( vogue_0006 "From Moldova to Poland, shelters are full of harrowing tales." )
( vogue_0007 "At this moment, they have the world's attention and the world is sympathetic to their struggles." )
( vogue_0008 "In Syria, some families have lived in temporary settlements for almost eleven years now." )
( vogue_0009 "Refugees live in places where people cannot get critical supplies, such as food, clean water and medical services." )
( vogue_0010 "Women and girls become targets of gender based violence and childhood marriage." )
( vogue_0011 "From Ukraine to the world's many overlooked crises, we need to ensure the safety, health and recovery of refugees." )
( vogue_0012 "I feel that it is my duty to highlight the stories of these people and the journeys of refugees." )
( vogue_0013 "What forced them to flee from their countries of origin?" )
( vogue_0014 "What experiences did they encounter on their journey to refugee camps or new countries?" )
( vogue_0015 "And what type of lives did they forge for themselves?" )
( vogue_0016 "Nobody wants to be a refugee." )
( vogue_0017 "It really is the last resort." )
( vogue_0018 "Refugees are people with hope, lives and dreams." )
( vogue_0019 "They feel like they are nameless and faceless, but they're not." )
( vogue_0020 "I want them to know that their stories matter." )
( vogue_0021 "Internally displaced person that is my status now." )
( vogue_0022 "As I write this, the war in Ukraine has hit the one month mark." )
( vogue_0023 "On the morning of twenty four February, after the first explosions, my husband and I looked at each other calmly." )
( vogue_0024 "When the war began, priorities reset themselves." )
( vogue_0025 "Three days later, he signed a contract with the armed forces, packed a backpack and left for the hospital." )
( vogue_0026 "Since then, he has not returned home." )
( vogue_0027 "He is in the army now, but not at the front." )
( vogue_0028 "Those three weeks I spent in the city alone were not easy." )
( vogue_0029 "But I am grateful for this experience I became stronger." )
( vogue_0030 "After one such incident, I decided to leave." )
( vogue_0031 "Not because I was scared of the war, but because I was scared by my reaction to it." )
( vogue_0032 "We hand out toilet paper, a plate of food, underwear, sweets for children." )
( vogue_0033 "Most of them no longer have a home; there was nothing left to bring." )
( vogue_0034 "Leaving Kyiv, I promised myself that I would not become a refugee." )
( vogue_0035 "For me, leaving the country equals surrender." )
( vogue_0036 "No, Putin, you won't get it." )
( vogue_0037 "When the Syrian revolution started, I tried to do unbelievable things just to survive." )
( vogue_0038 "I lived under shelling and bombing, and I gave birth to my daughter, Sama, in the most difficult situation." )
( vogue_0039 "I did everything I could to stay in Syria, but eventually we were forced to flee." )
( vogue_0040 "I knew then I would never be the person I was before." )
( vogue_0041 "What do I want from this life? It made me question my very purpose." )
( vogue_0042 "Displacement, for me, is the worst crime I've ever witnessed." )
( vogue_0043 "I started my new life here in London." )
( vogue_0044 "I am doing very well at work, with my family, with my little girls." )
( vogue_0045 "But starting over can still feel harder than everything I've been through before." )
( vogue_0046 "What people forget is that a refugee is not who you are, it's what happened to you." )
( vogue_0047 "The message I want to send to all refugees is this: try to fight." )
( vogue_0048 "Fight against any label the world could put on you." )
( vogue_0049 "Try to find hope in anything you can." )
( vogue_0050 "And keep the belief that, one day, you will return." )
( vogue_0051 "That there are countries that welcome people fleeing conflict with open arms is amazing." )
( vogue_0052 "I hear Poland has already received more than two million Ukrainians." )
( vogue_0053 "To feel loved and safe is all a person wants at the end of the day." )
( vogue_0054 "The subject that does need to be addressed, however, is the latent racism that refugees of colour experience." )
( vogue_0055 "This is a dangerous place to be." )
( vogue_0056 "What we need to do is open our borders and our hearts without prejudice." )
( vogue_0057 "We need to allow the human race to thrive and not just those tribes that we exist within." )
( vogue_0058 "What can we say about the brokenness of the world?" )
( vogue_0059 "Today, more than seventeen million war exhausted Yemenis are on the brink of starvation." )
( vogue_0060 "It is a purely man made famine, a direct consequence of a brutal seven year old war." )
( vogue_0061 "Without these arms, the Saudis cannot continue to shell and shatter Yemen." )
( vogue_0062 "The World Food Programme begs for money to feed Yemen's hungry; it gets barely any." )
( vogue_0063 "The UN has said it needs $four billion to prevent the worst famine the world has seen for decades." )
( vogue_0064 "In fact, they haven't offered the funds at all." )
